name,ra,dec,mag
Sirius,6.7525,-16.7161,-1.46
Canopus,6.3992,-52.6956,-0.74
Arcturus,14.2611,19.1825,-0.05
Vega,18.6156,38.7837,0.03
Capella,5.2781,45.9980,0.08
Rigel,5.2422,-8.2017,0.13
Procyon,7.6548,5.2248,0.34
Achernar,1.6286,-57.2367,0.46
Betelgeuse,5.9195,7.4069,0.50
Hadar,14.0637,-60.3730,0.61
Altair,19.8464,8.8683,0.77
Acrux,12.4433,-63.0990,0.77
Aldebaran,4.5987,16.5093,0.85
Spica,13.4199,-11.1612,0.97
Antares,16.4901,-26.4320,1.09
Pollux,7.7553,28.0262,1.14
Fomalhaut,22.9608,-29.6222,1.16
Deneb,20.6901,45.2803,1.25
Mimosa,12.7956,-59.6890,1.30
Regulus,10.1395,11.9672,1.35
Adhara,6.9775,-28.9720,1.50
Castor,7.5767,31.8882,1.57
Shaula,17.5606,-37.1038,1.63
Bellatrix,5.4188,6.3497,1.64
Elnath,5.4382,28.6074,1.68
Miaplacidus,9.2199,-69.7175,1.68
Alnilam,5.6036,-1.2019,1.70
Gamma Velorum,8.1584,-47.3367,1.78
Alnair,22.1372,-46.9606,1.74
Alioth,12.9000,55.9598,1.77
Alnitak,5.6794,-1.9425,1.79
Dubhe,11.0621,61.7511,1.79
Mirfak,3.4054,49.8611,1.80
Wezen,7.1392,-26.3932,1.84
Sargas,17.6223,-42.9986,1.87
Kaus Australis,18.4029,-34.3846,1.85
Avior,8.3751,-59.5097,1.86
Alkaid,13.7923,49.3133,1.86
Menkalinan,6.0296,44.9475,1.90
Atria,16.8113,-69.0278,1.91
Alhena,6.6281,16.3993,1.93
Peacock,20.4277,-56.7349,1.94
Alsephina,17.5826,14.5903,1.95
Mirzam,6.3783,-17.9559,1.98
Alphard,9.4598,-8.6586,1.98
Polaris,2.5301,89.2641,1.98
Hamal,2.1195,23.4624,2.00
